no,CustomerWillTip,Service,Ambience,Food,price,TipOrNo
1,1,7,6,4,3,Tip
2,1,5,1,4,4,Tip
3,0,6,3,6,3,No-tip
4,0,5,2,4,3,No-tip
5,1,7,6,4,5,Tip
6,0,3,4,5,6,No-tip
7,0,4,6,2,5,No-tip
8,0,3,1,3,3,No-tip
9,0,4,3,2,3,No-tip
10,0,3,6,3,6,No-tip
11,1,4,4,5,5,Tip
12,0,4,4,2,7,No-tip
13,0,1,3,2,7,No-tip
14,1,6,5,5,4,Tip
15,1,5,2,4,3,Tip
16,1,5,4,4,5,Tip
17,1,6,3,4,7,Tip
18,0,4,1,3,3,No-tip
19,0,3,5,2,4,No-tip
20,1,7,5,5,3,Tip
21,1,3,4,5,2,Tip
22,0,5,5,3,7,No-tip
23,0,3,3,4,4,No-tip
24,1,5,5,5,6,Tip
25,1,5,6,4,1,Tip
26,1,7,3,3,4,Tip
27,0,2,5,2,4,No-tip
28,1,6,7,2,7,Tip
29,0,3,6,3,6,No-tip
30,1,6,4,4,6,Tip
31,1,3,6,3,5,Tip
32,1,7,5,5,5,Tip
33,1,3,1,5,5,No-tip
34,0,4,5,2,7,No-tip
35,1,5,4,2,7,Tip
36,1,4,5,4,4,No-tip
37,0,7,6,4,5,No-tip
38,0,7,6,4,5,No-tip
39,1,5,3,4,3,No-tip
40,0,6,4,4,6,No-tip
